Task 7 running algorithm: linearSwitchFromRandom
cn16.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: linearSwitchFromRandom
  Completed 100 iterations for size 8, cohesion 0.
  Completed 100 iterations for size 8, cohesion 10.
  Completed 100 iterations for size 8, cohesion 20.
  Completed 100 iterations for size 8, cohesion 30.
  Completed 100 iterations for size 8, cohesion 40.
  Completed 100 iterations for size 8, cohesion 50.
  Completed 100 iterations for size 8, cohesion 60.
  Completed 100 iterations for size 8, cohesion 70.
  Completed 100 iterations for size 8, cohesion 80.
  Completed 100 iterations for size 8, cohesion 90.
  Completed 100 iterations for size 8, cohesion 100.
  Completed 100 iterations for size 30, cohesion 0.
  Completed 100 iterations for size 30, cohesion 10.
  Completed 100 iterations for size 30, cohesion 20.
  Completed 100 iterations for size 30, cohesion 30.
  Completed 100 iterations for size 30, cohesion 40.
  Completed 100 iterations for size 30, cohesion 50.
  Completed 100 iterations for size 30, cohesion 60.
  Completed 100 iterations for size 30, cohesion 70.
  Completed 100 iterations for size 30, cohesion 80.
  Completed 100 iterations for size 30, cohesion 90.
  Completed 100 iterations for size 30, cohesion 100.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 23 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 24 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 25 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 26 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 27 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 28 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 29 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 30 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 31 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 34 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 35 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 37 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 38 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 40 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 41 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 42 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 44 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 45 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 46 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 47 took longer than 30 seconds.
