algorithm,n_people,cohesion,iteration,score,time
influenceListGreedy,8,20,48,427.04,0.0190122127532959
influenceListGreedy,8,20,49,381.4,0.019026756286621094
influenceListGreedy,8,20,50,416.74,0.018907785415649414
influenceListGreedy,8,20,51,431.19,0.019022703170776367
influenceListGreedy,8,20,52,396.5,0.019060134887695312
influenceListGreedy,8,20,53,366.52,0.020044326782226562
influenceListGreedy,8,20,54,425.83,0.019071102142333984
influenceListGreedy,8,20,55,471.51,0.01918172836303711
influenceListGreedy,8,20,56,253.57,0.018949031829833984
influenceListGreedy,8,20,57,436.25,0.0193021297454834
influenceListGreedy,8,20,58,486.83,0.02029585838317871
influenceListGreedy,8,20,59,417.0,0.02038741111755371
influenceListGreedy,8,20,60,407.05,0.020111560821533203
influenceListGreedy,8,20,61,390.85,0.020076274871826172
influenceListGreedy,8,20,62,300.91,0.019905805587768555
influenceListGreedy,8,20,63,408.27,0.018954753875732422
influenceListGreedy,8,20,64,397.89,0.018937349319458008
influenceListGreedy,8,20,65,433.88,0.02027273178100586
influenceListGreedy,8,20,66,407.53,0.019646167755126953
influenceListGreedy,8,20,67,365.98,0.02001214027404785
influenceListGreedy,8,20,68,512.14,0.018924713134765625
influenceListGreedy,8,20,69,404.51,0.018979310989379883
influenceListGreedy,8,20,70,254.0,0.018986225128173828
influenceListGreedy,8,20,71,401.84,0.019099950790405273
influenceListGreedy,8,20,72,477.27,0.018824100494384766
influenceListGreedy,8,20,73,359.77,0.020039796829223633
influenceListGreedy,8,20,74,338.1,0.01905989646911621
influenceListGreedy,8,20,75,320.37,0.01908588409423828
influenceListGreedy,8,20,76,352.49,0.01897716522216797
influenceListGreedy,8,20,77,381.46,0.018909692764282227
influenceListGreedy,8,20,78,334.64,0.020171165466308594
influenceListGreedy,8,20,79,409.44,0.020478487014770508
influenceListGreedy,8,20,80,346.8,0.020117998123168945
influenceListGreedy,8,20,81,368.71,0.020370960235595703
influenceListGreedy,8,20,82,544.84,0.019923925399780273
influenceListGreedy,8,20,83,489.43,0.019119977951049805
influenceListGreedy,8,20,84,330.7,0.018915653228759766
influenceListGreedy,8,20,85,325.0,0.020131349563598633
influenceListGreedy,8,20,86,476.49,0.01973891258239746
influenceListGreedy,8,20,87,455.48,0.02004408836364746
influenceListGreedy,8,20,88,548.64,0.01903223991394043
influenceListGreedy,8,20,89,353.23,0.01897144317626953
influenceListGreedy,8,20,90,373.51,0.019007444381713867
influenceListGreedy,8,20,91,350.82,0.019128084182739258
influenceListGreedy,8,20,92,404.03,0.01885533332824707
influenceListGreedy,8,20,93,338.0,0.020247459411621094
influenceListGreedy,8,20,94,314.93,0.019039154052734375
influenceListGreedy,8,20,95,338.72,0.018779516220092773
influenceListGreedy,8,20,96,361.98,0.01889204978942871
influenceListGreedy,8,20,97,286.74,0.020558595657348633
influenceListGreedy,8,20,98,466.87,0.019789457321166992
influenceListGreedy,8,20,99,396.02,0.020307064056396484
influenceListGreedy,8,30,0,582.2,0.020964622497558594
influenceListGreedy,8,30,1,286.07,0.020046472549438477
influenceListGreedy,8,30,2,340.79,0.02046799659729004
influenceListGreedy,8,30,3,315.01,0.019169092178344727
influenceListGreedy,8,30,4,386.97,0.018913984298706055
influenceListGreedy,8,30,5,457.8,0.02038860321044922
influenceListGreedy,8,30,6,362.13,0.019788503646850586
influenceListGreedy,8,30,7,367.67,0.019962310791015625
influenceListGreedy,8,30,8,338.31,0.018856048583984375
influenceListGreedy,8,30,9,362.37,0.01890420913696289
influenceListGreedy,8,30,10,387.87,0.01896834373474121
influenceListGreedy,8,30,11,403.49,0.018991947174072266
influenceListGreedy,8,30,12,494.89,0.01900768280029297
influenceListGreedy,8,30,13,338.71,0.01987457275390625
influenceListGreedy,8,30,14,507.02,0.02053546905517578
influenceListGreedy,8,30,15,365.76,0.01928091049194336
influenceListGreedy,8,30,16,240.99,0.019111156463623047
influenceListGreedy,8,30,17,321.96,0.0190427303314209
influenceListGreedy,8,30,18,435.54,0.020196914672851562
influenceListGreedy,8,30,19,317.53,0.020254135131835938
influenceListGreedy,8,30,20,406.74,0.021296024322509766
influenceListGreedy,8,30,21,331.61,0.02002739906311035
influenceListGreedy,8,30,22,394.7,0.01995253562927246
influenceListGreedy,8,30,23,377.14,0.018928050994873047
influenceListGreedy,8,30,24,389.62,0.01889824867248535
influenceListGreedy,8,30,25,389.29,0.018977642059326172
influenceListGreedy,8,30,26,329.6,0.02014899253845215
influenceListGreedy,8,30,27,369.35,0.019133806228637695
influenceListGreedy,8,30,28,397.71,0.018996715545654297
influenceListGreedy,8,30,29,333.69,0.018977880477905273
influenceListGreedy,8,30,30,355.93,0.01897597312927246
influenceListGreedy,8,30,31,514.41,0.019005537033081055
influenceListGreedy,8,30,32,267.84,0.019211530685424805
influenceListGreedy,8,30,33,374.84,0.01925969123840332
influenceListGreedy,8,30,34,405.1,0.019164562225341797
influenceListGreedy,8,30,35,355.9,0.019295454025268555
influenceListGreedy,8,30,36,456.7,0.01914072036743164
influenceListGreedy,8,30,37,469.49,0.019259214401245117
influenceListGreedy,8,30,38,391.15,0.019304752349853516
influenceListGreedy,8,30,39,407.23,0.020881175994873047
influenceListGreedy,8,30,40,399.7,0.020302295684814453
influenceListGreedy,8,30,41,396.4,0.02067089080810547
influenceListGreedy,8,30,42,497.09,0.01911187171936035
influenceListGreedy,8,30,43,462.77,0.01892995834350586
influenceListGreedy,8,30,44,403.9,0.019054651260375977
influenceListGreedy,8,30,45,407.36,0.019469499588012695
influenceListGreedy,8,30,46,525.09,0.019538402557373047
influenceListGreedy,8,30,47,532.53,0.019098758697509766
influenceListGreedy,8,30,48,427.04,0.018985748291015625
influenceListGreedy,8,30,49,381.4,0.019078493118286133
influenceListGreedy,8,30,50,416.74,0.019024372100830078
influenceListGreedy,8,30,51,431.19,0.01923394203186035
influenceListGreedy,8,30,52,396.5,0.019465208053588867
influenceListGreedy,8,30,53,366.52,0.019310474395751953
influenceListGreedy,8,30,54,425.83,0.01940011978149414
influenceListGreedy,8,30,55,471.51,0.019196033477783203
influenceListGreedy,8,30,56,253.57,0.019219636917114258
influenceListGreedy,8,30,57,436.25,0.019362926483154297
influenceListGreedy,8,30,58,486.83,0.020659208297729492
influenceListGreedy,8,30,59,417.0,0.021183490753173828
influenceListGreedy,8,30,60,407.05,0.020557880401611328
influenceListGreedy,8,30,61,390.85,0.019139766693115234
influenceListGreedy,8,30,62,300.91,0.018962383270263672
influenceListGreedy,8,30,63,408.27,0.018823862075805664
influenceListGreedy,8,30,64,397.89,0.019039154052734375
influenceListGreedy,8,30,65,433.88,0.02031421661376953
influenceListGreedy,8,30,66,407.53,0.019210338592529297
influenceListGreedy,8,30,67,365.98,0.019028186798095703
influenceListGreedy,8,30,68,512.14,0.01903700828552246
influenceListGreedy,8,30,69,404.51,0.01896810531616211
influenceListGreedy,8,30,70,254.0,0.019189119338989258
influenceListGreedy,8,30,71,401.84,0.01912856101989746
influenceListGreedy,8,30,72,477.27,0.02015209197998047
influenceListGreedy,8,30,73,359.77,0.019392728805541992
influenceListGreedy,8,30,74,338.1,0.01912713050842285
influenceListGreedy,8,30,75,320.37,0.019196033477783203
influenceListGreedy,8,30,76,352.49,0.019023656845092773
influenceListGreedy,8,30,77,381.46,0.02022719383239746
influenceListGreedy,8,30,78,334.64,0.02049398422241211
influenceListGreedy,8,30,79,409.44,0.02094721794128418
influenceListGreedy,8,30,80,346.8,0.0204620361328125
influenceListGreedy,8,30,81,368.71,0.019108057022094727
influenceListGreedy,8,30,82,544.84,0.018963098526000977
influenceListGreedy,8,30,83,489.43,0.019022703170776367
influenceListGreedy,8,30,84,330.7,0.01901102066040039
influenceListGreedy,8,30,85,325.0,0.020276308059692383
influenceListGreedy,8,30,86,476.49,0.019749164581298828
influenceListGreedy,8,30,87,455.48,0.019200801849365234
influenceListGreedy,8,30,88,548.64,0.019030332565307617
influenceListGreedy,8,30,89,353.23,0.01897716522216797
influenceListGreedy,8,30,90,373.51,0.01911759376525879
influenceListGreedy,8,30,91,350.82,0.019387006759643555
influenceListGreedy,8,30,92,404.03,0.01950979232788086
influenceListGreedy,8,30,93,338.0,0.019453763961791992
influenceListGreedy,8,30,94,314.93,0.019234657287597656
influenceListGreedy,8,30,95,338.72,0.019185304641723633
influenceListGreedy,8,30,96,361.98,0.019518613815307617
influenceListGreedy,8,30,97,286.74,0.01940631866455078
influenceListGreedy,8,30,98,466.87,0.0204465389251709
influenceListGreedy,8,30,99,396.02,0.02086353302001953
influenceListGreedy,8,40,0,582.2,0.019870758056640625
influenceListGreedy,8,40,1,286.07,0.019929885864257812
influenceListGreedy,8,40,2,340.79,0.018868446350097656
influenceListGreedy,8,40,3,315.01,0.018854856491088867
influenceListGreedy,8,40,4,386.97,0.019006013870239258
influenceListGreedy,8,40,5,457.8,0.02006077766418457
influenceListGreedy,8,40,6,362.13,0.019049882888793945
influenceListGreedy,8,40,7,367.67,0.01900172233581543
influenceListGreedy,8,40,8,338.31,0.01897883415222168
influenceListGreedy,8,40,9,362.37,0.018991470336914062
influenceListGreedy,8,40,10,387.87,0.01914381980895996
influenceListGreedy,8,40,11,403.49,0.0192108154296875
influenceListGreedy,8,40,12,494.89,0.019492626190185547
influenceListGreedy,8,40,13,338.71,0.01928424835205078
influenceListGreedy,8,40,14,507.02,0.019130945205688477
influenceListGreedy,8,40,15,365.76,0.019253015518188477
influenceListGreedy,8,40,16,240.99,0.019405603408813477
influenceListGreedy,8,40,17,321.96,0.019409894943237305
influenceListGreedy,8,40,18,435.54,0.020735979080200195
influenceListGreedy,8,40,19,317.53,0.02109360694885254
influenceListGreedy,8,40,20,406.74,0.019806385040283203
influenceListGreedy,8,40,21,331.61,0.019001245498657227
influenceListGreedy,8,40,22,394.7,0.01905202865600586
influenceListGreedy,8,40,23,377.14,0.01902484893798828
influenceListGreedy,8,40,24,389.62,0.01944279670715332
influenceListGreedy,8,40,25,389.29,0.019660472869873047
influenceListGreedy,8,40,26,329.6,0.020371437072753906
influenceListGreedy,8,40,27,369.35,0.0194094181060791
influenceListGreedy,8,40,28,397.71,0.019005775451660156
influenceListGreedy,8,40,29,333.69,0.019087553024291992
influenceListGreedy,8,40,30,355.93,0.01922130584716797
influenceListGreedy,8,40,31,514.41,0.02013993263244629
influenceListGreedy,8,40,32,267.84,0.020038366317749023
influenceListGreedy,8,40,33,374.84,0.019198179244995117
influenceListGreedy,8,40,34,405.1,0.01907181739807129
influenceListGreedy,8,40,35,355.9,0.01940464973449707
influenceListGreedy,8,40,36,456.7,0.0204312801361084
influenceListGreedy,8,40,37,469.49,0.020702362060546875
influenceListGreedy,8,40,38,391.15,0.020934104919433594
influenceListGreedy,8,40,39,407.23,0.02072310447692871
influenceListGreedy,8,40,40,399.7,0.019512414932250977
influenceListGreedy,8,40,41,396.4,0.01900482177734375
influenceListGreedy,8,40,42,497.09,0.018944501876831055
influenceListGreedy,8,40,43,462.77,0.019616127014160156
influenceListGreedy,8,40,44,403.9,0.020313262939453125
influenceListGreedy,8,40,45,407.36,0.01913738250732422
influenceListGreedy,8,40,46,525.09,0.018991470336914062
influenceListGreedy,8,40,47,532.53,0.018967628479003906
influenceListGreedy,8,40,48,427.04,0.018910884857177734
influenceListGreedy,8,40,49,381.4,0.01904463768005371
influenceListGreedy,8,40,50,416.74,0.01912832260131836
influenceListGreedy,8,40,51,431.19,0.019263029098510742
influenceListGreedy,8,40,52,396.5,0.019281387329101562
influenceListGreedy,8,40,53,366.52,0.019187450408935547
influenceListGreedy,8,40,54,425.83,0.019209861755371094
influenceListGreedy,8,40,55,471.51,0.01950383186340332
influenceListGreedy,8,40,56,253.57,0.01959085464477539
influenceListGreedy,8,40,57,436.25,0.020947933197021484
influenceListGreedy,8,40,58,486.83,0.020343542098999023
influenceListGreedy,8,40,59,417.0,0.021023035049438477
influenceListGreedy,8,40,60,407.05,0.019300460815429688
influenceListGreedy,8,40,61,390.85,0.019060850143432617
influenceListGreedy,8,40,62,300.91,0.018829345703125
influenceListGreedy,8,40,63,408.27,0.01961350440979004
influenceListGreedy,8,40,64,397.89,0.019973039627075195
influenceListGreedy,8,40,65,433.88,0.019098281860351562
influenceListGreedy,8,40,66,407.53,0.018979787826538086
influenceListGreedy,8,40,67,365.98,0.019001483917236328
influenceListGreedy,8,40,68,512.14,0.018971920013427734
influenceListGreedy,8,40,69,404.51,0.01908111572265625
influenceListGreedy,8,40,70,254.0,0.01909351348876953
influenceListGreedy,8,40,71,401.84,0.0191800594329834
influenceListGreedy,8,40,72,477.27,0.01914691925048828
influenceListGreedy,8,40,73,359.77,0.020049571990966797
influenceListGreedy,8,40,74,338.1,0.01958608627319336
influenceListGreedy,8,40,75,320.37,0.019506454467773438
influenceListGreedy,8,40,76,352.49,0.01955556869506836
influenceListGreedy,8,40,77,381.46,0.020645856857299805
influenceListGreedy,8,40,78,334.64,0.02065443992614746
influenceListGreedy,8,40,79,409.44,0.02015995979309082
influenceListGreedy,8,40,80,346.8,0.019194602966308594
influenceListGreedy,8,40,81,368.71,0.019054174423217773
influenceListGreedy,8,40,82,544.84,0.01908588409423828
influenceListGreedy,8,40,83,489.43,0.0195159912109375
influenceListGreedy,8,40,84,330.7,0.019629955291748047
influenceListGreedy,8,40,85,325.0,0.019246339797973633
influenceListGreedy,8,40,86,476.49,0.01926445960998535
influenceListGreedy,8,40,87,455.48,0.01928257942199707
influenceListGreedy,8,40,88,548.64,0.01908731460571289
influenceListGreedy,8,40,89,353.23,0.01909613609313965
influenceListGreedy,8,40,90,373.51,0.01950526237487793
influenceListGreedy,8,40,91,350.82,0.019413471221923828
influenceListGreedy,8,40,92,404.03,0.019320249557495117
influenceListGreedy,8,40,93,338.0,0.01929450035095215
influenceListGreedy,8,40,94,314.93,0.01917552947998047
influenceListGreedy,8,40,95,338.72,0.019181489944458008
influenceListGreedy,8,40,96,361.98,0.019726991653442383
