algorithm,timelimit,n_people,cohesion,iteration,score,time
annealingFromFluent,0.1,300,10,18,11375.43,1.4076671600341797
annealingFromFluent,0.1,300,10,19,11650.4,1.368575096130371
annealingFromFluent,0.1,300,10,20,11093.42,1.3253707885742188
annealingFromFluent,0.1,300,10,21,11517.53,1.340181827545166
annealingFromFluent,0.1,300,10,22,11744.97,1.360724687576294
annealingFromFluent,0.1,300,10,23,11169.37,1.3663790225982666
annealingFromFluent,0.1,300,10,24,11504.71,1.370598554611206
annealingFromFluent,0.1,300,10,25,11507.16,1.3926656246185303
annealingFromFluent,0.1,300,10,26,10907.51,1.2806341648101807
annealingFromFluent,0.1,300,10,27,11064.67,1.3681941032409668
annealingFromFluent,0.1,300,10,28,10864.03,1.2729790210723877
annealingFromFluent,0.1,300,10,29,11237.51,1.357065200805664
annealingFromFluent,0.1,300,10,30,11347.11,1.384575605392456
annealingFromFluent,0.1,300,10,31,11703.1,1.3190057277679443
annealingFromFluent,0.1,300,10,32,11709.72,1.3189513683319092
annealingFromFluent,0.1,300,10,33,11453.83,1.298011302947998
annealingFromFluent,0.1,300,10,34,11656.5,1.3536076545715332
annealingFromFluent,0.1,300,10,35,11028.57,1.3686716556549072
annealingFromFluent,0.1,300,10,36,11540.69,1.348806381225586
annealingFromFluent,0.1,300,10,37,11865.36,1.2584092617034912
annealingFromFluent,0.1,300,10,38,11532.04,1.379523754119873
annealingFromFluent,0.1,300,10,39,11613.46,1.3025310039520264
annealingFromFluent,0.1,300,10,40,11720.98,1.3449735641479492
annealingFromFluent,0.1,300,10,41,11379.28,1.4396517276763916
annealingFromFluent,0.1,300,10,42,11600.11,1.4561476707458496
annealingFromFluent,0.1,300,10,43,11577.27,1.2377047538757324
annealingFromFluent,0.1,300,10,44,11758.07,1.3312015533447266
annealingFromFluent,0.1,300,10,45,11399.12,1.3344531059265137
annealingFromFluent,0.1,300,10,46,11427.27,1.3289110660552979
annealingFromFluent,0.1,300,10,47,11450.1,1.3370881080627441
annealingFromFluent,0.1,300,10,48,11434.81,1.3213977813720703
annealingFromFluent,0.1,300,10,49,11605.34,1.2949650287628174
annealingFromFluent,0.1,300,10,50,11573.68,1.4115550518035889
